SOURCELONG:Fiend Folio	SOURCESHORT:FFo	SOURCEWEB:http://www.gozzilioni.net																																																																										
																																																																												
# Race Name	Output Name	Favored Class	Starting Feats	Size	Move	Face/Space	Reach	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		ABILITY:Special Ability|AUTOMATIC|	ABILITY:Special Ability|AUTOMATIC|			ABILITY:Special Ability|AUTOMATIC|	ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability	Spell Res.	Damage Reduction		MONSTERCLASS:	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells												
Iron cobra				SIZE:M	MOVE:Walk,30	FACE:5	REACH:5			PREALIGN:TN			BONUS:COMBAT|AC|3|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|2	BONUS:STAT|DEX|6				BONUS:STAT|CHA|-10			MONCSKILL:Hide|Move Silently									LEGS:0	HANDS:0				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Poison,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Poison	ABILITY:Special Ability|AUTOMATIC|Stalk Victim|Stealth						DR:5/Adamantine		MONSTERCLASS:Construct (Mindless):2	RACETYPE:Construct		TYPE:Construct	TEMPLATE:Construct|Mindless				HITDICEADVANCEMENT:3		CR:2	SOURCEPAGE:FFo		DEFINE:StealthBonus|10											
Ironmaw			STARTFEATS:1	SIZE:H	MOVE:Walk,10	FACE:15	REACH:15			PREALIGN:NE	LANGAUTO:Abyssal		BONUS:COMBAT|AC|18|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Listen,Spot|15|TYPE=Racial				BONUS:STAT|STR|20	BONUS:STAT|DEX|-2	BONUS:STAT|CON|12	BONUS:STAT|INT|-6	BONUS:STAT|WIS|2	BONUS:STAT|CHA|4			MONCSKILL:Hide|Listen|Spot			AUTO:WEAPONPROF|Ironmaw Tendril	AUTO:EQUIP|Ironmaw Tendril|Ironmaw Tendril|Ironmaw Tendril|Ironmaw Tendril					LEGS:0	HANDS:4						ABILITY:Special Ability|AUTOMATIC|Attach|Engulf|Illness|Wounding	ABILITY:Special Ability|AUTOMATIC|Resistance To Acid|Immunity To Cold|Immunity To Electricity|Resistance To Sonic			ABILITY:Special Ability|AUTOMATIC|Ironmaw Skills		SR:30	DR:15/Magic and Slashing		MONSTERCLASS:Plant:12	RACETYPE:Plant		TYPE:Plant	TEMPLATE:Plant				HITDICEADVANCEMENT:16,36		CR:13	SOURCEPAGE:FFo		DEFINE:AcidResistanceBonus|10	DEFINE:SonicResistanceBonus|10										
Jackal Lord		FAVCLASS:Cleric	STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	VISION:Darkvision (60')		PREALIGN:LE	LANGAUTO:Common,Infernal		BONUS:COMBAT|AC|4|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|2	BONUS:STAT|DEX|4	BONUS:STAT|CON|4	BONUS:STAT|INT|2	BONUS:STAT|WIS|8	BONUS:STAT|CHA|6			MONCSKILL:Bluff|Diplomacy|Disguise|Intimidate|Knowledge (Religion)|Listen|Move Silently|Sense Motive|Spot		AUTO:ARMORPROF|ARMORTYPE=Light	AUTO:WEAPONPROF|Scimitar	AUTO:EQUIP|Chain Shirt|Scimitar					LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d10|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d4		ABILITY:Special Ability|AUTOMATIC|Alternate Form|Curse of the Jackal|Dominate Animal (Sp/at will/WIS)|Summon Jackals ~ Jackal Lord							DR:10/Magic		MONSTERCLASS:Jackal Lord:8	RACETYPE:Monstrous Humanoid		TYPE:Monstrous Humanoid	TEMPLATE:Monstrous Humanoid					LEVELADJUSTMENT:4	CR:8	SOURCEPAGE:FFo	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=15|Cat's Grace|Disguise Self|Detect Magic|Detect Good|Suggestion,13+CHA	DEFINE:CurseOfTheJackalPerDay|1	DEFINE:DominateAnimalLVL|16	SPELLS:Innate|TIMES=3|CASTERLEVEL=15|Shadow Walk,16+CHA									
Dog.COPY=Jackal																																																																												
Jackal.MOD	OUTPUTNAME:Jackal																																																																											
Jackalwere			STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	VISION:Darkvision (60')|Low-Light			LANGAUTO:Common		BONUS:COMBAT|AC|2|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|2	BONUS:STAT|DEX|6	BONUS:STAT|CON|4		BONUS:STAT|WIS|2	BONUS:STAT|CHA|2			MONCSKILL:Bluff|Disguise|Listen|Sense Motive|Spot			AUTO:WEAPONPROF|Scimitar	AUTO:EQUIP|Scimitar					LEGS:2	HANDS:2						ABILITY:Special Ability|AUTOMATIC|Sleep Gaze	ABILITY:Special Ability|AUTOMATIC|Alternate Form						DR:5/Cold Iron		MONSTERCLASS:Magical Beast:4	RACETYPE:Magical Beast	RACESUBTYPE:Shapechanger	TYPE:Magical Beast	TEMPLATE:Magical Beast	TEMPLATE:Shapechanger					CR:2	SOURCEPAGE:FFo													
Kaorti		FAVCLASS:Sorcerer	STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5				LANGAUTO:Kaorti	LANGBONUS:Common,Sylvan	BONUS:COMBAT|AC|2|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Heal|8|TYPE=Racial				BONUS:STAT|STR|-4	BONUS:STAT|DEX|4		BONUS:STAT|INT|4		BONUS:STAT|CHA|6			MONCSKILL:Concentration|TYPE.Craft|Heal|Intimidate|Knowledge (Arcana)|Knowledge (The Planes)|Spellcraft|Survival|Use Magic Device		AUTO:ARMORPROF|ARMORTYPE=Light	AUTO:WEAPONPROF|Ribbon Dagger	AUTO:EQUIP|Ribbon Dagger|Resin Scale Armor					LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Vile Tranfsormation	ABILITY:Special Ability|AUTOMATIC|Vulnerability To Material Plane|Immunity To Poison								MONSTERCLASS:Outsider:2	RACETYPE:Outsider	RACESUBTYPE:Kaorti	TYPE:Outsider	TEMPLATE:Outsider	TEMPLATE:Extraplanar	TEMPLATE:Evil			LEVELADJUSTMENT:2	CR:1	SOURCEPAGE:FFo	SPELLS:Innate|TIMES=1|CASTERLEVEL=2|Disguise Self|Color Spray|Feather Fall|Ray of Enfeeblement|Reduce|Spider Climb												
Keeper		FAVCLASS:Rogue	STARTFEATS:1	SIZE:M	MOVE:Walk,40,Climb,20	FACE:5	REACH:5	VISION:Blindsight (200')		PREALIGN:TN	LANGAUTO:Common,Celestial,Infrenal		BONUS:COMBAT|AC|4|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Climb,Jump,Esccape Artist|8|TYPE=Racial				BONUS:STAT|STR|8	BONUS:STAT|DEX|6	BONUS:STAT|CON|4	BONUS:STAT|INT|4	BONUS:STAT|WIS|-2	BONUS:STAT|CHA|-4			MONCSKILL:Climb|Escape Artist|Hide|Listen|Jump|TYPE.Knowledge|Move Silently|Open Lock|Spot		AUTO:ARMORPROF|ARMORTYPE=Light		AUTO:EQUIP|Leather 					LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d3		ABILITY:Special Ability|AUTOMATIC|Mimic Weapon|Poison Spit	ABILITY:Special Ability|AUTOMATIC|Body Switch|Dissolution|Hive Mind|Resistance To Acid|Resistance To Cold|Resistance To Fire|Resistance To Electricity|Resistance To Sonic|Scent	ABILITY:Special Ability|AUTOMATIC|Immunity To Mind-Affecting|Immunity To Poison|Immunity To Sleep|Immunity To Paralysis|Immunity To Stunning|Immunity To Disease|Immunity To Death Effects|Immunity To Necromantic Effetcs|Spell Immunities|Immunity To Critical Hits|Immunity To Sneak Attack|Immunity To Non-lethal Damage|Immunity to Ability Damage|Immunity to Ability Drain|		ABILITY:Special Ability|AUTOMATIC|Keeper Skills			DR:10/Magic		MONSTERCLASS:Outsider:4	RACETYPE:Outsider		TYPE:Outsider	TEMPLATE:Outsider	TEMPLATE:Extraplanar				LEVELADJUSTMENT:3	CR:7	SOURCEPAGE:FFo		DEFINE:AcidResistanceBonus|10	DEFINE:ColdResistanceBonus|10	DEFINE:FireResistanceBonus|10	DEFINE:ElectricityResistanceBonus|10	DEFINE:SonicResistanceBonus|10							
Kelp Angler			STARTFEATS:1	SIZE:L	MOVE:Walk,20,Swim,60	FACE:10	REACH:5	VISION:Blindsight (100')					BONUS:COMBAT|AC|10|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Move Silently|6|TYPE=Racial				BONUS:STAT|STR|20	BONUS:STAT|DEX|4	BONUS:STAT|CON|6	BONUS:STAT|INT|-4		BONUS:STAT|CHA|2			MONCSKILL:Climb|Hide|Move Silently|Swim									LEGS:0	HANDS:4				NATURALATTACKS:Tendril,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*4,1d8		ABILITY:Special Ability|AUTOMATIC|Improved Grab	ABILITY:Special Ability|AUTOMATIC|Camouflage|Resistance To Fire|Regeneration	ABILITY:Special Ability|AUTOMATIC|Immunity To Cold|Immunity To Blunt Weapon Damage		ABILITY:Special Ability|AUTOMATIC|Kelp Angler Skills					MONSTERCLASS:Plant:11	RACETYPE:Plant	RACESUBTYPE:Aquatic	TYPE:Plant	TEMPLATE:Plant	TEMPLATE:Aquatic			HITDICEADVANCEMENT:15,33		CR:9	SOURCEPAGE:FFo	SPELLS:Innate|TIMES=3|CASTERLEVEL=11|Dispel Magic|Entangle,11+CHA	DEFINE:FireResistanceBonus|20	DEFINE:RegenerationRate|4	SPELLS:Innate|TIMES=1|CASTERLEVEL=11|Confusion,13+CHA|Displacement,13+CHA									
Kelpie			STARTFEATS:1	SIZE:L	MOVE:Walk,50,Swim,50	FACE:10	REACH:5	VISION:Low-Light		PREALIGN:CE	LANGAUTO:Common,Sylvan		BONUS:COMBAT|AC|12|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|14	BONUS:STAT|DEX|2	BONUS:STAT|CON|6		BONUS:STAT|WIS|2	BONUS:STAT|CHA|4			MONCSKILL:Bluff|Diplomacy|Disguise|Hide|Intimidate|Listen|Move Silently|Sense Motive|Spot|Swim									LEGS:4	HANDS:0				NATURALATTACKS:Hoof,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d6|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d8		ABILITY:Special Ability|AUTOMATIC|Trip	ABILITY:Special Ability|AUTOMATIC|Alternate Form|Resistance To Cold|Resistance To Fire|Scent			ABILITY:Special Ability|AUTOMATIC|Kelpie Skills			DR:10/Cold Iron		MONSTERCLASS:Fey:10	RACETYPE:Fey	RACESUBTYPE:Aquatic	TYPE:Fey	TEMPLATE:Fey	TEMPLATE:Aquatic			HITDICEADVANCEMENT:15,20		CR:10	SOURCEPAGE:FFo	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=7|Detect Thoughts,12+CHA	DEFINE:FireResistanceBonus|20	DEFINE:ColdResistanceBonus|20	SPELLS:Innate|TIMES=3|CASTERLEVEL=7|Charm Person,11+CHA|Crushing Despair,13+CHA|Good Hope,13+CHA|Rage,12+CHA									
Khaasta		FAVCLASS:Fighter	STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	VISION:Darkvision (60')			LANGAUTO:Common,Draconic		BONUS:COMBAT|AC|6|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|8	BONUS:STAT|DEX|2	BONUS:STAT|CON|4	BONUS:STAT|INT|2					MONCSKILL:Climb|Handle Animal|Intimidate|Knowledge (The Planes)|Ride|Spot|Survival	AUTO:SHIELDPROF|SHIELDTYPE=Buckler|SHIELDTYPE=Light|SHIELDTYPE=Heavy	AUTO:ARMORPROF|ARMORTYPE=Light|ARMORTYPE=Medium	AUTO:WEAPONPROF|Halberd|Scimitar|Longbow	AUTO:EQUIP|Breastplate|Shield (Light/Metal)|Halberd|Scimitar|Longbow (Composite)					LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d4											MONSTERCLASS:Monstrous Humanoid:3	RACETYPE:Monstrous Humanoid	RACESUBTYPE:Extraplanar|Reptilian	TYPE:Monstrous Humanoid	TEMPLATE:Monstrous Humanoid	TEMPLATE:Extraplanar|Reptilian					CR:3	SOURCEPAGE:FFo													
Kuldurath			STARTFEATS:1	SIZE:L	MOVE:Walk,60,Climb,30	FACE:10	REACH:5	VISION:Darkvision (60')|Low-Light		PREALIGN:TN	LANGAUTO:Sylvan		BONUS:COMBAT|AC|6|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Climb|8|TYPE=Racial				BONUS:STAT|STR|10		BONUS:STAT|CON|8	BONUS:STAT|INT|-6	BONUS:STAT|WIS|4				MONCSKILL:Climb|Intimidate|Jump									LEGS:4	HANDS:2				NATURALATTACKS:Gore,Weapon.Natural.Melee.Finesseable.Piercing,*1,2d6|Kick,Weapon.Natural.Melee.Finesseable.Bludgeoning.Acid,*2,2d4		ABILITY:Special Ability|AUTOMATIC|Powerful Charge|Electricity Aura|Trample	ABILITY:Special Ability|AUTOMATIC|Share Defenses	ABILITY:Special Ability|AUTOMATIC|Immunity To Electricity|Immunity To Mind-Affecting		ABILITY:Special Ability|AUTOMATIC|Kuldurath Skills					MONSTERCLASS:Magical Beast:9	RACETYPE:Magical Beast	RACESUBTYPE:Extraplanar	TYPE:Magical Beast	TEMPLATE:Magical Beast	TEMPLATE:Extraplanar			HITDICEADVANCEMENT:9,24,27		CR:8	SOURCEPAGE:FFo													
Living Holocaust			STARTFEATS:1	SIZE:S	MOVE:Fly,50	FACE:5	REACH:5				LANGAUTO:Abyssal,Auran,Ignan									BONUS:STAT|DEX|10	BONUS:STAT|CON|6	BONUS:STAT|INT|4	BONUS:STAT|WIS|6	BONUS:STAT|CHA|4			MONCSKILL:Diplomacy|Hide|Listen|Sense Motive|Spot									LEGS:0	HANDS:0				NATURALATTACKS:Fiery Windspike,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,1,1d6		ABILITY:Special Ability|AUTOMATIC|Fiery Windspike|Fiery Aura|Burn|Holocaust Wind|Whirlflame	ABILITY:Special Ability|AUTOMATIC|Gaseous|Air Mastery|Regeneration			ABILITY:Special Ability|AUTOMATIC|Living Holocaust Skills	ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability	SR:24	DR:10/-		MONSTERCLASS:Elemental (Air/Fire):15	RACETYPE:Elemental	RACESUBTYPE:Air|Extraplanar|Fire	TYPE:Elemental	TEMPLATE:Elemental	TEMPLATE:Extraplanar	TEMPLATE:Air|Fire		HITDICEADVANCEMENT:20,35,45		CR:13	SOURCEPAGE:FFo		DEFINE:Maneuverability|5	DEFINE:RegenerationRate|5										
Lucent Worm			STARTFEATS:1	SIZE:G	MOVE:Walk,40,Burrow,30,Swim,30	FACE:20	REACH:15	VISION:Tremorsense (60')|Darkvision (60')|Low-Light		PREALIGN:TN			BONUS:COMBAT|AC|18|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Hide|15|TYPE=Racial				BONUS:STAT|STR|24	BONUS:STAT|DEX|-2	BONUS:STAT|CON|14	BONUS:STAT|INT|-10		BONUS:STAT|CHA|-2			MONCSKILL:Hide|Swim									LEGS:0	HANDS:0				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Paralysis,*1,2d8		ABILITY:Special Ability|AUTOMATIC|Crush|Improved Grab|Paralysis (Ex)|Swallow Whole				ABILITY:Special Ability|AUTOMATIC|Lucent Worm Skills			DR:15/Magic Piercing or Slashing		MONSTERCLASS:Magical Beast:22	RACETYPE:Magical Beast		TYPE:Magical Beast	TEMPLATE:Magical Beast				HITDICEADVANCEMENT:32,55		CR:17	SOURCEPAGE:FFo													
Maelephant			STARTFEATS:1	SIZE:L	MOVE:Walk,30	FACE:15	REACH:5	VISION:Darkvision (240')|Low-Light			LANGAUTO:Common,Infernal		BONUS:COMBAT|AC|11|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|12		BONUS:STAT|CON|6	BONUS:STAT|INT|4	BONUS:STAT|WIS|8	BONUS:STAT|CHA|4			MONCSKILL:Appraise|Balance|Concentration|Diplomacy|Jump|TYPE.Knowledge|Listen|Search|Sense Motive|Spellcraft|Spot|Survival									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d6|Trunk Spike,Weapon.Natural.Finesseable.Melee.Piercing,*1,2d6		ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Cone of Noxious Vapor|Frenzied Charge|Improved Grab	ABILITY:Special Ability|AUTOMATIC|Defensive Stance (encounter)|Fast Healing|Keen Senses|Scent					SR:17	DR:10/Magic		MONSTERCLASS:Outsider:8	RACETYPE:Outsider	RACESUBTYPE:Evil|Extraplanar|Lawful	TYPE:Outsider	TEMPLATE:Outsider	TEMPLATE:Extraplanar	TEMPLATE:Evil|Lawful		HITDICEADVANCEMENT:16,24		CR:10	SOURCEPAGE:FFo	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=8|Alarm|Entangle,11+CHA|Gust of Wind,12+CHA|True Seeing,15+CHA|Warp Wood,12+CHA	DEFINE:DefensiveStanceTimes|3	DEFINE:FastHealing|2	SPELLS:Innate|TIMES=3|CASTERLEVEL=8|Blade Barrier,16+CHA|Baleful Polymorph,15+CHA									
Maug		FAVCLASS:Fighter	STARTFEATS:1	SIZE:L	MOVE:Walk,40	FACE:10	REACH:10				LANGAUTO:Common,Draconic,Giant		BONUS:COMBAT|AC|7|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Craft (Stonemasonry),Knowledge (Architecture and Engineering)|4|TYPE=Racial				BONUS:STAT|STR|10	BONUS:STAT|DEX|4		BONUS:STAT|INT|2		BONUS:STAT|CHA|2			MONCSKILL:Craft (Blacksmithing)|Craft (Stonemasonry)|Intimidate|Knowledge (Architecture and Engineering)|Listen|Profession (Siege Engineer)|Profession (Soldier)|Spot|Survival		AUTO:ARMORPROF|ARMORTYPE=Light|ARMORTYPE=Medium|ARMORTYPE=Heavy	AUTO:WEAPONPROF|Sword (Two-Bladed)		AUTO:FEAT|Armor Proficiency (Light)|Armor Proficiency (Medium)|Armor Proficiency (Heavy)|Alertness				LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d8		ABILITY:Special Ability|AUTOMATIC|Pulverize	ABILITY:Special Ability|AUTOMATIC|Rapid Repair|Maug Graft			ABILITY:Special Ability|AUTOMATIC|Maug Skills		SR:12+HD			MONSTERCLASS:Maug:2	RACETYPE:Construct	RACESUBTYPE:Extraplanar	TYPE:Construct	TEMPLATE:Construct	TEMPLATE:Extraplanar				LEVELADJUSTMENT:3	CR:3	SOURCEPAGE:FFo		DEFINE:PulverizePerDay|3	BONUS:VAR|PulverizeDC|7	DEFINE:RapidRepair|1									
Maulgoth			STARTFEATS:1	SIZE:H	MOVE:Walk,60,Burrow,60,Climb,60	FACE:15	REACH:15	VISION:Tremorsense (60')|Darkvision (60')		PREALIGN:NE	LANGAUTO:Terrran,Undercommon		BONUS:COMBAT|AC|24|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|18	BONUS:STAT|DEX|14	BONUS:STAT|CON|16	BONUS:STAT|INT|6	BONUS:STAT|WIS|6	BONUS:STAT|CHA|8			MONCSKILL:Concentration|Hide|Jump|Listen|Move Silently|Spot			AUTO:WEAPONPROF|Maulgoth Tentacle	AUTO:EQUIP|Maulgoth Tentacle|Maulgoth Tentacle|Maulgoth Tentacle|Maulgoth Tentacle					LEGS:4	HANDS:4				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,2d6		ABILITY:Special Ability|AUTOMATIC|Constrict|Ethereal Jolt|Improved Grab	ABILITY:Special Ability|AUTOMATIC|Perfect Climbing|Earth Glide					SR:37	DR:15/Magic Adamantine		MONSTERCLASS:Aberration:20	RACETYPE:Aberration	RACESUBTYPE:Earth	TYPE:Aberration	TEMPLATE:Aberration		TEMPLATE:Earth		HITDICEADVANCEMENT:20,40,60		CR:17	SOURCEPAGE:FFo	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=13|Calm Animal,11+WIS|Control Plants,18+WIS|Cure Light Wounds,11+WIS|Dominate Animal,13+WIS|Soften Earth and Stone|Stone Tell|Transmute Rock to Mud,15+WIS	SPELLS:Innate|TIMES=5|CASTERLEVEL=13|Cure Serious Wounds,13+WIS|True Seeing|Wall of Stone,15+WIS											
Megatherium			STARTFEATS:1	SIZE:H	MOVE:Walk,40	FACE:15	REACH:10	VISION:Darkvision (60')|Low-Light		PREALIGN:TN			BONUS:COMBAT|AC|15|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|16	BONUS:STAT|DEX|2	BONUS:STAT|CON|14	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-2			MONCSKILL:Listen|Spot									LEGS:4	HANDS:0				NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d4|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,2d6		ABILITY:Special Ability|AUTOMATIC|Improved Grab|Pin Down|Trample	ABILITY:Special Ability|AUTOMATIC|Scent								MONSTERCLASS:Animal:13	RACETYPE:Animal		TYPE:Animal	TEMPLATE:Animal				HITDICEADVANCEMENT:16,26		CR:8	SOURCEPAGE:FFo													
Mongrelfolk		FAVCLASS:Rogue	STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5				LANGAUTO:Common,Pidgin				BONUS:SKILL|Hide,Sleight of Hand|8|TYPE=Racial						BONUS:STAT|CON|4	BONUS:STAT|INT|-2		BONUS:STAT|CHA|-4			MONCSKILL:Hide|Sleight of Hand		AUTO:ARMORPROF|ARMORTYPE=Light	AUTO:WEAPONPROF|Club|Sling	AUTO:EQUIP|Hide|Club|Sling					LEGS:2	HANDS:2							ABILITY:Special Ability|AUTOMATIC|Emulate Race|Sound Imitation									RACETYPE:Humanoid	RACESUBTYPE:Mongrelman	TYPE:Humanoid	TEMPLATE:Humanoid						CR:1/3	SOURCEPAGE:FFo													
Necrophidius				SIZE:M	MOVE:Walk,30,Climb,10	FACE:5	REACH:5			PREALIGN:TN	LANGAUTO:Common		BONUS:COMBAT|AC|5|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Hide,Move Silently,Climb|8|TYPE=Racial				BONUS:STAT|STR|2	BONUS:STAT|DEX|6				BONUS:STAT|CHA|2												LEGS:0	HANDS:0				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Paralysis,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Dance of Death|Paralysis (Su)|Sneak Attack				ABILITY:Special Ability|AUTOMATIC|Necrophidius Skills					MONSTERCLASS:Construct (Mindless):2	RACETYPE:Construct		TYPE:Construct	TEMPLATE:Construct				HITDICEADVANCEMENT:5,6		CR:2	SOURCEPAGE:FFo		BONUS:VAR|SneakAttack|HD											
Nerra (Kalareem)	OUTPUTNAME:Nerra, [NAME]	FAVCLASS:Fighter	STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5			PREALIGN:TN			BONUS:COMBAT|AC|5|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|2	BONUS:STAT|DEX|6	BONUS:STAT|CON|4		BONUS:STAT|WIS|4	BONUS:STAT|CHA|2			MONCSKILL:Bluff|Diplomacy|Disguise|Hide|TYPE.Knowledge|Listen|Move Silently|Sense Motive|Spot			AUTO:WEAPONPROF|Longsword		AUTO:FEAT|Weapon Focus(Longsword)	BONUS:ABILITYPOOL|Nerra Feat|1			LEGS:2	HANDS:2						ABILITY:Special Ability|AUTOMATIC|Shard Spray	ABILITY:Special Ability|AUTOMATIC|Resistance To Cold|Resistance To Electricity|Resistance To Fire								MONSTERCLASS:Outsider:3	RACETYPE:Outsider	RACESUBTYPE:Nerra	TYPE:Outsider	TEMPLATE:Outsider|Nerra	TEMPLATE:Extraplanar				LEVELADJUSTMENT:6	CR:3	SOURCEPAGE:FFo	SPELLS:Innate|TIMES=1|CASTERLEVEL=11|Mirror Image	DEFINE:ColdResistanceBonus|10	DEFINE:ElectricityResistanceBonus|10	DEFINE:FireResistanceBonus|10	DEFINE:ReflectiveSR|15								
Nerra (Sillits)	OUTPUTNAME:Nerra, [NAME]	FAVCLASS:Wizard	STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5			PREALIGN:TN			BONUS:COMBAT|AC|5|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|2	BONUS:STAT|DEX|4	BONUS:STAT|CON|4	BONUS:STAT|INT|6	BONUS:STAT|WIS|4	BONUS:STAT|CHA|8			MONCSKILL:Bluff|Diplomacy|Disguise|Gather Information|Hide|Intimidate|Knowledge (The Planes)|Listen|Move Silently|Search|Sense Motive|Spot|Survival		AUTO:ARMORPROF|ARMORTYPE=Light|ARMORTYPE=Medium	AUTO:WEAPONPROF|Longsword	AUTO:EQUIP|Chainmail	AUTO:FEAT|Weapon Focus(Longsword)	BONUS:ABILITYPOOL|Nerra Feat|1			LEGS:2	HANDS:2						ABILITY:Special Ability|AUTOMATIC|Shard Spray	ABILITY:Special Ability|AUTOMATIC|Resistance To Cold|Resistance To Electricity|Resistance To Fire								MONSTERCLASS:Outsider:7	RACETYPE:Outsider	RACESUBTYPE:Nerra	TYPE:Outsider	TEMPLATE:Outsider|Nerra	TEMPLATE:Extraplanar				LEVELADJUSTMENT:18	CR:6	SOURCEPAGE:FFo	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=16|Change Self|False Vision|Mirror Image	SPELLS:Innate|TIMES=3|CASTERLEVEL=16|Mislead,15+CHA	DEFINE:ColdResistanceBonus|15	DEFINE:ElectricityResistanceBonus|15	DEFINE:FireResistanceBonus|15	DEFINE:ReflectiveSR|19							
